goos: linux
goarch: amd64
pkg: github.com/kamihama-railway/uwasa
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkOptimizationComparison/IntAddSub_Const/None-4         	 3725161	       321.5 ns/op	      24 B/op	       3 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/Basic-4        	285096207	         4.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/Recompiled-4   	201774819	         6.332 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/VM-4           	190140028	         6.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/RegisterVM-4   	222347626	         4.654 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/NeoEx-4        	 5017603	       203.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/None-4          	 6068528	       198.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/Basic-4         	284380663	         4.201 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/Recompiled-4    	284140266	         4.204 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/VM-4            	284896762	         4.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/RegisterVM-4    	264229306	         4.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/NeoEx-4         	 7196032	       167.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/None-4       	 3248599	       365.8 ns/op	      88 B/op	      11 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/Basic-4      	287333727	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/Recompiled-4 	287292364	         4.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/VM-4         	286678519	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/RegisterVM-4 	286356996	         4.177 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/NeoEx-4      	 6054523	       195.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/None-4          	 3755119	       313.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/Basic-4         	 3815528	       312.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/Recompiled-4    	 3808948	       312.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/VM-4            	 5173696	       231.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/RegisterVM-4    	 4762743	       252.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/NeoEx-4         	 4631811	       258.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/None-4           	 5057668	       238.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/Basic-4          	 5069046	       236.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/Recompiled-4     	 5064393	       236.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/VM-4             	 5576766	       216.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/RegisterVM-4     	 5132043	       233.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/NeoEx-4          	 5005297	       240.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/None-4  	27715137	        36.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/Basic-4 	286832044	         4.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/Recompiled-4         	287013633	         4.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/VM-4                 	286537070	         4.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/RegisterVM-4         	286804654	         4.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/NeoEx-4              	11385948	       105.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/None-4              	 5293017	       225.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/Basic-4             	 5295537	       226.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/Recompiled-4        	 6762835	       176.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/VM-4                	 5638664	       211.4 ns/op	       0 B/op	       0 allocs/op
