goos: linux
goarch: amd64
pkg: github.com/kamihama-railway/uwasa
cpu: Intel(R) Xeon(R) Processor @ 2.30GHz
BenchmarkOptimizationComparison/IntAddSub_Const/None-4         	 2695431	       472.0 ns/op	      72 B/op	       4 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/Basic-4        	256864780	         4.611 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/Recompiled-4   	263413426	         4.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/VM-4           	270410318	         4.367 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Const/RegisterVM-4   	275504066	         4.387 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/None-4          	 3882457	       309.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/Basic-4         	271002676	         4.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/Recompiled-4    	263679771	         4.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/VM-4            	272419196	         4.374 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Const/RegisterVM-4    	271070871	         4.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/None-4       	 2362729	       516.4 ns/op	     136 B/op	      12 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/Basic-4      	275068052	         4.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/Recompiled-4 	266029647	         4.593 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/VM-4         	274950108	         5.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/FloatAddSub_Const/RegisterVM-4 	199667647	         6.290 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/None-4          	 2432955	       478.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/Basic-4         	 3573430	       328.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/Recompiled-4    	 3623586	       329.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/VM-4            	 5191783	       232.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntAddSub_Vars/RegisterVM-4    	 4635009	       257.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/None-4           	 4998159	       240.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/Basic-4          	 5030137	       238.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/Recompiled-4     	 4950427	       240.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/VM-4             	 5337760	       215.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/IntMixed_Vars/RegisterVM-4     	 5097339	       238.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/None-4  	31423938	        39.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/Basic-4 	265844877	         4.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/Recompiled-4         	257493832	         4.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/VM-4                 	268349871	         4.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/BoolShortCircuit_Const/RegisterVM-4         	274467471	         4.414 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/None-4              	 4900750	       243.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/Basic-4             	 4930239	       253.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/Recompiled-4        	 5817402	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/VM-4                	 6409845	       185.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/AlgebraicSimplification/RegisterVM-4        	 4939968	       244.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/DeeplyNested_Unoptimized/None-4             	 6569604	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/DeeplyNested_Unoptimized/Basic-4            	 6678780	       181.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/DeeplyNested_Unoptimized/Recompiled-4       	 6673826	       181.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/DeeplyNested_Unoptimized/VM-4               	10056405	       117.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/DeeplyNested_Unoptimized/RegisterVM-4       	 7227284	       163.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/None-4                    	  999440	      1103 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/Basic-4                   	 1000000	      1096 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/Recompiled-4              	  999782	      1112 ns/op	     232 B/op	      15 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/VM-4                      	 5950388	       199.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkOptimizationComparison/StringConcat_Long/RegisterVM-4              	 1936226	       617.9 ns/op	     104 B/op	       7 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat-4                                     	 8446694	       140.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat_VM-4                                  	 8542318	       139.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkMixedTypeArithmetic/IntFloat_RegisterVM-4                          	 6445147	       187.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkConcatBuiltin/Variables-4                                          	 1603609	       754.1 ns/op	     312 B/op	       7 allocs/op
BenchmarkConcatBuiltin/Variables_VM-4                                       	 3015321	       407.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkConcatBuiltin/Variables_RegisterVM-4                               	 2852942	       424.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkStringConcatenation/ConstStrings-4                                 	 4970190	       240.5 ns/op	      48 B/op	       3 allocs/op
BenchmarkStringConcatenation/ConstStrings_VM-4                              	 5632453	       210.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkStringConcatenation/ConstStrings_RegisterVM-4                      	 3807678	       329.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkLexer-4                                                            	 2703856	       441.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParser-4                                                           	  728317	      1430 ns/op	     352 B/op	      11 allocs/op
BenchmarkEngineExecute-4                                                    	 5145360	       220.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_RegisterVM-4                                         	 5560221	       216.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_VM-4                                                 	 7464724	       159.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_OptNone-4                                            	 5381176	       245.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_OptBasic-4                                           	 5404208	       230.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecute_Recompiled-4                                         	 5378185	       221.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext-4                                         	 6277305	       185.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_RegisterVM-4                              	 6162066	       194.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_VM-4                                      	 8269940	       142.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_OptNone-4                                 	 6504711	       183.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_OptBasic-4                                	 6401896	       186.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkEngineExecuteWithContext_Recompiled-4                              	 6503666	       183.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkComplexExpression-4                                                	 2651143	       454.0 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_RegisterVM-4                                     	 3977210	       309.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkComplexExpression_VM-4                                             	 4527549	       266.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkComplexExpression_OptNone-4                                        	 2631459	       461.4 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_OptBasic-4                                       	 2579415	       458.1 ns/op	      24 B/op	       2 allocs/op
BenchmarkComplexExpression_Recompiled-4                                     	 2652454	       452.7 ns/op	      24 B/op	       2 allocs/op
BenchmarkNeoExVM_Execute-4                                                  	 6904792	       170.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkNeoExVM_MixedTypeArithmetic-4                                      	10938746	       106.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkNeoExVM_StringConcatenation-4                                      	 5475255	       216.8 ns/op	      40 B/op	       2 allocs/op
PASS
ok  	github.com/kamihama-railway/uwasa	116.668s
